主功能,次功能,功能描述,Wireframe(天),Mockup(天),Prototype(天),設計總工時(天)
Dashboard 首頁,佈局與網格,定義儀表板 Grid System 與 RWD 響應式規則,1.0,1.0,0.0,2.0
Dashboard 首頁,Fami-Link 卡片,動態島互動設計 (預設/上傳中/已就緒狀態),0.5,1.0,0.5,2.0
Dashboard 首頁,雲端冰箱模組,橫向捲動卡片設計與過期倒數標籤,0.5,1.0,0.5,2.0
Dashboard 首頁,點數計算機,價值換算視覺化與進度條動畫設計,0.5,1.0,0.5,2.0
Dashboard 首頁,特殊狀態,全頁 Skeleton Loading 與斷網 Error State 插畫,0.5,1.5,0.0,2.0
Dashboard 首頁,空狀態 (Empty),新用戶無資料時的引導插畫 (Onboarding),0.5,1.0,0.0,1.5
Fami-Link 詳情頁,檔案列表,檔案管理介面與上傳流程設計,0.5,1.0,0.0,1.5
Fami-Link 詳情頁,QR Code 彈窗,高亮燈箱設計與關閉互動,0.2,0.5,0.3,1.0
雲端冰箱詳情頁,篩選與分類,商品牆篩選器 (Bottom Sheet) 設計,0.5,1.0,0.0,1.5
雲端冰箱詳情頁,兌換流程,兌換確認彈窗與成功/失敗回饋 (Toast),0.3,0.5,0.2,1.0
點數兌換頁,兌換歷程,時間軸樣式設計,0.5,0.5,0.0,1.0
Design System,元件庫建立,統整 Icon、Typography、Colors、Components,0.0,2.0,0.0,2.0
交付文件,Spec 撰寫,標註互動邏輯與前端規格書,1.0,0.0,0.0,1.0
Total,總計,,6.5,12.0,2.0,20.5